Name           Prompt     t90    Afglw90    dt90      Afglw      dttot
Event820     2.90e-01  131.48   4.78e+00  134.00   1.30e+04  136000.00 
Event822     1.05e-14  182.55   9.50e+00  218.00   2.60e+04  131000.00 
Event840     4.92e+00   32.68   5.09e+02   34.00   1.19e+05  118000.00 
Event843     2.17e-02    7.97   1.63e+01   10.00   2.18e+03  116000.00 
Event846     9.69e-05   93.98   6.23e+00  105.00   4.07e+04  112000.00 
Event851     1.17e-03   13.80   4.32e-08   14.70   2.75e+02  115000.00 
Event853     1.10e-01   29.25   3.31e+02   32.20   4.82e+03  130000.00 
Event856     4.32e-28    3.82   2.93e-10    4.71   4.36e+02  107000.00 
Event860     6.66e-01   66.14   2.57e+03   73.40   4.57e+04  112000.00 
Event871     2.77e+00    3.55   3.24e-02    4.43   1.33e+04  121000.00 
Event876     4.38e-04  315.13   2.42e+02  343.00   1.30e+05  123000.00 
Event883     1.86e-01    7.95   1.74e-02    8.57   2.42e+02  133000.00 
Event884     3.26e-06    7.10   3.15e-09    7.36   4.23e+02  141000.00 
Event889     1.64e-02   36.55   1.43e+02   45.60   5.49e+02  150000.00 
Event900     1.47e+00  174.70   9.00e+03  194.00   4.96e+04  111000.00 
Event902     4.47e-02    3.28   5.47e-05    3.82   1.21e+03  121000.00 
Event903     3.34e-01  203.35   2.33e+02  231.00   8.56e+04  135000.00 
Event904     5.38e-02   30.80   3.25e-02   33.20   1.43e+04  127000.00 
Event909     9.51e-02    5.61   3.35e-04    6.13   1.29e+03  114000.00 
Event911     4.55e-01   55.53   2.61e+03   63.90   1.56e+04  113000.00 
Event913     2.48e+00   74.58   1.14e+03   88.20   3.18e+04  117000.00 
Event918     2.44e-03    7.13   2.16e-07    7.36   9.85e+02  133000.00 
Event920     3.42e-01    6.42   6.55e-02    7.64   5.99e+02  125000.00 
Event924     2.19e-01    4.46   7.93e+00    4.98   4.01e+02  119000.00 
Event926     7.88e-06   22.01   5.34e-06   25.70   2.31e+03  136000.00 
Event936     2.45e+00   97.44   1.68e+03  110.00   7.67e+03  130000.00 
Event944     1.31e-03  107.46   2.57e-02  144.00   5.69e+04  114000.00 
Event946     7.80e-01   75.15   3.06e+02   90.50   3.90e+04  116000.00 
Event949     2.26e-01   10.56   2.08e-01   10.60   7.18e+02  139000.00 
Event959     3.22e-02    8.77   8.39e-04    8.83   1.28e+03  142000.00 
Event960     1.65e-01   13.08   4.11e-02   14.70   1.69e+02  124000.00 
Event961     1.01e-01   22.07   1.05e+00   24.90   2.84e+03  136000.00 
Event963     7.40e-01  163.43   4.89e+03  168.00   1.75e+04  129000.00 
Event966     1.74e+00   54.93   6.32e+03   60.70   4.42e+04  110000.00 
Event970     7.64e-01   30.59   2.47e+02   36.50   1.25e+05  113000.00 
Event979     1.52e-01    4.05   1.30e-02    4.93   5.82e+01  168000.00 
Event980     1.86e-03   50.43   6.98e-03   58.90   2.58e+04  119000.00 
Event981     1.81e-02    2.80   5.34e-08    3.09   1.12e+02  139000.00 
Event985     6.21e-01   63.69   1.26e-01   81.30   5.00e+03  114000.00 
Event990     5.89e-01   45.14   7.19e+00   50.80   6.82e+02  144000.00 
Event991     1.07e+01   14.94   2.82e+02   17.30   2.58e+04  136000.00 
Event994     3.09e-06   67.75   1.38e-04   82.80   1.08e+03  123000.00 
